RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
490,Dubai,31-35,Female,800 Dhs and above,Education,In Eids and seasons,A decrease in disposable income,Very important,Often,Not at all,Neutral,Often,Sometimes,Completely,Sometimes,Very important,Sometimes,Extremely important,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,3,Product variety and staff knowledge.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
491,Abu Dhabi,21-25,Female,400–800 Dhs,Customer Service and Sales,Monthly,A sudden increase in income,Not important at all,Never,Completely,"Yes, always",Never,Always,Moderately,Sometimes,Somewhat important,Sometimes,Very important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,1,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Longer return window for unopened items.
492,Abu Dhabi,36–40,Female,400–800 Dhs,Banking and Finance,Every 3 months,No significant change in income,Not important at all,Sometimes,Completely,"Yes, always",Sometimes,Often,Very much,Always,Extremely important,Rarely,Somewhat important,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Personalized engraving for gifts.,Improve stock updates online.
493,Dubai,26-30,Male,400–800 Dhs,Health,Monthly,A change in employment status,Not important at all,Rarely,Not at all,Neutral,Often,Sometimes,Slightly,Sometimes,Extremely important,Often,Extremely important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Convenient location and parking.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
494,Dubai,36–40,Female,200-400 Dhs,Banking and Finance,Monthly,A sudden increase in income,Extremely important,Never,Moderately,"Yes, sometimes",Always,Always,Moderately,Never,Very important,Often,Extremely important,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,2,Product variety and staff knowledge.,More niche fragrance houses.,Longer return window for unopened items.
495,Dubai,26-30,Female,400–800 Dhs,Self-employed,Every 6 months,A decrease in disposable income,Somewhat important,Always,Completely,"Yes, always",Often,Always,Completely,Always,Very important,Often,Very important,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Workshops on layering scents.,Add WhatsApp virtual consultations.
496,Abu Dhabi,36–40,Male,200-400 Dhs,Education,Every 3 months,No significant change in income,Very important,Sometimes,Not at all,"No, never",Always,Sometimes,Completely,Never,Not important at all,Often,Very important,Often,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Exclusive releases and tester availability.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
497,Dubai,41-50,Male,Less than 200 Dhs,Retired,Monthly,A decrease in disposable income,Extremely important,Sometimes,Very much,"Yes, always",Often,Sometimes,Not at all,Always,Extremely important,Often,Somewhat important,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Exclusive releases and tester availability.,Travel-size discovery sets.,More samples with purchases.
498,Sharjah,36–40,Male,200-400 Dhs,Self-employed,Every 3 months,A decrease in disposable income,Very important,Always,Slightly,"Yes, sometimes",Sometimes,Sometimes,Very much,Sometimes,Somewhat important,Always,Somewhat important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I rarely pay attention to new launches.,2,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Improve stock updates online.
499,Ras Al-Khaimah,26-30,Female,Less than 200 Dhs,Self-employed,Monthly,No significant change in income,Somewhat important,Never,Not at all,"Yes, always",Often,Often,Slightly,Sometimes,Somewhat important,Sometimes,Extremely important,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,2,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
500,Dubai,21-25,Female,800 Dhs and above,Engineering,Monthly,No significant change in income,Somewhat important,Often,Moderately,"Yes, sometimes",Sometimes,Sometimes,Very much,Always,Extremely important,Always,Very important,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Convenient location and parking.,Personalized engraving for gifts.,Longer return window for unopened items.
501,Sharjah,41-50,Female,Less than 200 Dhs,Customer Service and Sales,Every 6 months,No significant change in income,Not important at all,Sometimes,Completely,"Yes, sometimes",Always,Never,Moderately,Often,Very important,Sometimes,Somewhat important,Always,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,4,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
502,Abu Dhabi,26-30,Female,800 Dhs and above,Health,Every 3 months,No significant change in income,Neutral,Often,Moderately,Neutral,Sometimes,Sometimes,Slightly,Sometimes,Neutral,Often,Extremely important,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,3,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
503,Dubai,31-35,Female,400–800 Dhs,Banking and Finance,Yearly,No significant change in income,Not important at all,Rarely,Very much,"Yes, sometimes",Rarely,Sometimes,Completely,Sometimes,Somewhat important,Never,Neutral,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,4,Exclusive releases and tester availability.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
504,Abu Dhabi,36–40,Male,Less than 200 Dhs,Unemployed,Weekly,A decrease in disposable income,Extremely important,Sometimes,Moderately,"Yes, sometimes",Rarely,Rarely,Completely,Often,Neutral,Often,Very important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,1,Product variety and staff knowledge.,More niche fragrance houses.,More samples with purchases.
505,Dubai,26-30,Female,800 Dhs and above,Unemployed,Every 3 months,A sudden increase in income,Not important at all,Sometimes,Slightly,"Yes, always",Often,Often,Very much,Sometimes,Not important at all,Rarely,Neutral,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Exclusive releases and tester availability.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
506,Sharjah,Under 21,Female,800 Dhs and above,Self-employed,Every 6 months,A decrease in disposable income,Somewhat important,Rarely,Slightly,Neutral,Rarely,Sometimes,Completely,Rarely,Somewhat important,Never,Extremely important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Convenient location and parking.,Personalized engraving for gifts.,Longer return window for unopened items.
507,Sharjah,31-35,Male,200-400 Dhs,Marketing / Media,Monthly,A sudden increase in income,Extremely important,Sometimes,Slightly,"No, never",Never,Often,Very much,Sometimes,Not important at all,Sometimes,Somewhat important,Never,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,4,Exclusive releases and tester availability.,Personalized engraving for gifts.,Improve stock updates online.
508,Dubai,26-30,Female,200-400 Dhs,General Employee,Weekly,No significant change in income,Extremely important,Rarely,Very much,"No, not often",Always,Often,Not at all,Sometimes,Very important,Sometimes,Extremely important,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Product variety and staff knowledge.,Workshops on layering scents.,More samples with purchases.
